Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score
98,OZATD,"OZATD - Özata Denizcilik 
	Hisse Senedi",2026/3,March,282195451.0,False,272205900000.00003,0.1,4.45,271130.0,1075.9,49428517.0,22.9,107.0,83.0,190.0
99,KORDS,"KORDS - Kordsa Teknik Tekstil 
	Hisse Senedi",2026/3,March,376735814.0,False,27823300000.0,1.35,1.31,13412.8,14410.5,710092691.0,5.0,92.0,101.0,193.0
100,PASEU,"PASEU - Pasifik Eurasia 
	Hisse Senedi",2026/6,June,188802097.0,False,102416600000.0,0.18,3.58,100800.0,1616.6,318067127.0,35.3,106.0,89.0,195.0
101,ESEN,"ESEN - Esenboğa Elektrik 
	Hisse Senedi",2026/3,March,222808420.0,False,14009000000.0,1.59,0.95,6188.0,7821.0,148516320.0,5.1,90.0,105.0,195.0
102,ECILC,"ECILC - Eczacıbaşı İlaç 
	Hisse Senedi",2026/3,March,713964525.0,False,45312300000.0,1.58,0.97,45467.0,-154.7,258579000.0,8.8,91.0,104.0,195.0
103,KLRHO,"KLRHO - Kiler Holding 
	Hisse Senedi",2026/3,March,863214151.0,False,118780000000.0,0.73,1.43,125043.8,-6263.8,563643000.0,13.8,100.0,99.0,199.0
104,TMPOL,"TMPOL - TE-MAPOL Polimer Plastik 
	Hisse Senedi",2026/3,March,23800246.0,False,6660900000.0,0.36,1.88,6074.0,586.9,8197757.0,6.0,103.0,98.0,201.0
105,MAGEN,"MAGEN - Margün Enerji 
	Hisse Senedi",2026/3,March,288701212.0,False,120559800000.0,0.24,1.24,112749.0,7810.8,245556579.0,16.8,105.0,102.0,207.0
106,SASA,"SASA - Sasa Polyester Sanayi A.Ş. 
	Hisse Senedi",2026/3,March,1689109974.0,False,268169700000.0,0.63,0.59,130204.8,137964.9,1310274000.0,221.4,101.0,107.0,208.0
107,BESTE,"BESTE - Best Brands Grup 
	Hisse Senedi",2026/3,March,31050627.0,False,4995000000.0,0.62,0.6,5288.6,-293.6,58547245.0,15.4,102.0,106.0,208.0
